ID	name	rank1	rank2	metric1	metric2
c81782_g3	c81782_g3	1	5119	4.822594409	0.057891925
c82098_g1	c82098_g1	2	2986	4.180127836	0.117451032
c95823_g2	c95823_g2	3	15914	4.122899708	-0.614870605
c81782_g1	c81782_g1	4	16200	3.697200456	-1.663028721
c97504_g1	c97504_g1	5	1176	3.310811654	0.226327924
c82353_g2	c82353_g2	6	14540	2.929541837	-0.225207194
c89346_g1	c89346_g1	7	15917	2.920018861	-0.617899422
c78709_g1	c78709_g1	8	15702	2.696065423	-0.461048626
c90585_g6	c90585_g6	9	2390	2.693418243	0.140424177
c88894_g6	c88894_g6	10	549	2.651449124	0.341426192
c92652_g1	c92652_g1	11	422	2.56374946	0.394047707
c88326_g3	c88326_g3	12	16319	2.257737012	-5.495209726
c81791_g1	c81791_g1	13	276	2.140926597	0.486157851
c90277_g6	c90277_g6	14	116	2.01210876	0.751401504
c86589_g3	c86589_g3	15	39	2.011417445	1.273024406
c89346_g2	c89346_g2	16	1386	1.961368741	0.204760883
c87295_g6	c87295_g6	17	16161	1.922228936	-1.362556769
c92749_g3	c92749_g3	18	14922	1.80432484	-0.262880077
c84158_g4	c84158_g4	19	256	1.759310864	0.503320819
c92718_g3	c92718_g3	20	16302	1.757981823	-3.367794468
c88438_g3	c88438_g3	21	16197	1.704541103	-1.605374804
c97134_g6	c97134_g6	22	1070	1.613319593	0.240625741
c84028_g1	c84028_g1	23	15951	1.582323992	-0.657177682
c94064_g5	c94064_g5	24	16018	1.486589123	-0.749576414
c82364_g1	c82364_g1	25	13147	1.444214698	-0.134438343
c90140_g1	c90140_g1	26	16025	1.44146452	-0.769773918
c92698_g1	c92698_g1	27	15841	1.392838604	-0.546017546
c89326_g4	c89326_g4	28	446	1.340413905	0.38411929
c75094_g1	c75094_g1	29	14482	1.329899777	-0.219474039
c77152_g2	c77152_g2	30	160	1.30656259	0.647814357
c84124_g1	c84124_g1	31	337	1.289215354	0.445434876
c95628_g3	c95628_g3	32	2265	1.256587744	0.145715039
c94733_g1	c94733_g1	33	12850	1.241750375	-0.123059859
c89026_g5	c89026_g5	34	1010	1.228238766	0.248800855
c93418_g1	c93418_g1	35	16262	1.22085825	-2.414827574
c93487_g4	c93487_g4	36	2806	1.209052099	0.12325923
c76336_g1	c76336_g1	37	148	1.164695916	0.66863009
c80423_g1	c80423_g1	38	16192	1.146225678	-1.579764491
c84000_g2	c84000_g2	39	35	1.139265526	1.316794737
c80089_g1	c80089_g1	40	2587	1.130525505	0.132185567
c92018_g6	c92018_g6	41	7906	1.121227958	0.002114629
c96199_g6	c96199_g6	42	16154	1.108841418	-1.306649376
c95174_g4	c95174_g4	43	16287	1.089988835	-2.8713065
c88042_g10	c88042_g10	44	14109	1.078150081	-0.189914042
c78602_g5	c78602_g5	45	14479	1.071315248	-0.219344676
c92432_g2	c92432_g2	46	8997	1.061203262	-0.020794521
