fish,pop,weight,startle,openfield,moving,courtship,aggression,logT,logC,logKT
X1,LP,0.0888,0.305,30.141,329.952,75,34,3,3.559,1.965
X2,HP,0.094,0.253,298.596,516.734,149,107,3.206,3.474,2.664
X3,LP,0.0804,0.524,272.579,528.72,105,65,3.258,4.364,2.835
X4,HP,0.0691,0.201,199.625,487.546,66,72,3.064,4.069,2.645
X5,LP,0.0773,0.305,361.56,386.436,3,52,3.21,4.203,2.195
X6,HP,0.0742,0.582,294.639,457.187,198,51,3.32,4.188,2.353
X7,LP,0.0996,1.571,113.656,443.593,50,30,3.167,4.179,2.396
X8,HP,0.0957,0.927,506.454,501.064,178,82,3.119,4.445,2.692
X9,HP,0.0987,0.582,234.534,493.516,168,104,3.201,4.17,2.72
X10,LP,0.1161,0.582,162.689,564.734,147,108,3.41,4.316,3.088
X11,HP,0.0636,0.775,188.309,519.464,150,44,3.219,4.138,3.939
X12,LP,0.0837,0.412,0,23.703,121,113,3.084,3.657,2.411
X13,HP,0.0708,0.644,357.683,512.236,155,104,3.406,4.234,2.817
X14,LP,0.0674,0.05,81.108,96.735,5,19,3.485,3.471,1.941
X15,HP,0.0767,0.412,205.86,593.421,173,119,3.563,4.057,3.072
X16,LP,0.1042,0.848,162.715,580.296,120,60,3.325,4.077,2.665
X17,LP,0.0596,0.201,154.67,548.266,125,66,2.982,5.444,2.583
X18,HP,0.0574,0,396.232,200.299,26,5,3.051,5.49,2.299
X20,HP,0.0741,0.05,281.202,500.736,212,59,2.935,5.26,2.663
X21,LP,0.0542,0,262.03,493.389,70,47,3.77,5.494,2.733
X22,HP,0.0604,0.201,252.016,543.327,48,6,3.055,5.205,2.589
X23,LP,0.0815,0.467,151.16,585.516,9,39,3.351,4.969,3.121
X24,HP,0.0745,0.644,256.673,485.251,0,15,3.139,4.841,2.958
X25,HP,0.0793,0.644,188.718,567.766,63,148,3.032,5.254,2.313
X27,HP,0.0772,0.412,265.625,280.905,76,88,3.527,5.158,2.688
X28,LP,0.0882,0.151,268.578,395.406,153,107,3.098,4.956,2.825
X29,HP,0.0658,0.1,212.936,568.296,146,55,3.236,5.248,3.101
X30,LP,0.0755,0.1,0,155.468,75,8,2.998,4.892,2.555
X31,HP,0.0796,0.848,179.015,575.202,1,58,3.25,5.305,3.131
X32,LP,0.0774,0.467,30.639,592.28,56,46,3.096,5.196,3.203
X33,LP,0.1173,0.1,89.748,496.5,88,71,2.875,4.593,3.246
X34,HP,0.1031,0.1,48.608,567.827,1,27,2.931,4.816,2.98
X35,LP,0.0824,0.412,344.811,452.545,150,121,3.499,4.237,3.659
X36,HP,0.0595,0.524,211.232,529.015,43,70,3.262,4.258,3.094
X37,LP,0.0745,0.467,28.689,403.75,18,6,3.117,4.454,2.221
X38,HP,0.0738,0.253,229.995,521.482,98,25,2.974,4.067,2.356
X39,LP,0.076,0.524,87.874,585.782,100,98,3.236,4.165,2.272
X40,HP,0.0806,0.848,209.216,547.234,238,50,3.204,3.911,2.139
X41,HP,0.0667,0.305,66.938,598.187,123,65,3.49,4.987,2.81
X42,LP,0.09,0.305,192.753,593.234,166,74,3.047,4.668,2.524
X43,HP,0.0731,0.305,329.782,540.951,115,70,3.235,4.155,2.758
X44,LP,0.0791,0.358,230.293,551.125,182,63,3.365,3.916,3.094
X45,HP,0.0685,0.151,245.921,530.437,90,98,2.973,4.199,3.06
X46,LP,0.0567,0.467,24.282,472.064,153,118,3.247,4.141,3.208
X47,HP,0.087,0.524,400.015,573.889,128,8,3.109,3.892,2.962
X48,LP,0.082,0.848,89.796,589.39,54,14,3.022,4.068,2.96
X49,LP,0.0876,0.358,168.343,588.062,140,96,2.897,4.886,2.685
X50,HP,0.0516,0.305,148.875,579.922,172,66,3.589,4.876,2.533
X51,LP,0.0673,0.848,195.138,550.483,143,79,3.491,5.401,2.751
X52,HP,0.0632,0.151,252.139,577.39,126,84,3.153,4.378,2.777
X53,LP,0.0588,0.467,268.657,562.781,168,78,3.312,4.977,3.1
X54,HP,0.0652,0.201,115.355,577.358,129,85,3.337,4.612,3.05
X55,LP,0.1036,0.848,98.082,524.577,23,2,3.286,4.378,2.809
X56,HP,0.0724,0.524,329.5,536.379,151,126,3.249,4.281,3.137
X57,HP,0.0704,0.708,201.999,515.942,192,47,3.284,4.602,2.93
X58,LP,0.0952,0.305,63.843,514,182,122,3.597,4.424,2.562
X59,HP,0.0542,0.305,298.563,568.188,143,35,3.287,4.36,2.987
X61,LP,0.066,0.412,172.064,597.344,0,13,3.299,4.07,2.596
X62,HP,0.0804,0,183.503,544.936,110,29,3.261,4.138,2.004
X63,LP,0.0747,0.1,63.766,521.532,4,12,3.291,4.206,2.902
X64,HP,0.0855,0,212.577,590.718,262,19,3.117,4.506,2.871
X65,HP,0.0495,0,146.129,586.08,3,44,3.178,4.393,2.642
X66,HP,0.0654,0.05,104.469,461.093,5,1,3.148,4.369,2.411
X67,HP,0.0473,0.467,352.498,516.331,135,73,3.22,4.435,2.762
